"datA","datB","datC","datD"
70.2009443280578,33.5154568132155,22.3057131663107,62.7649444825191
68.6373587339219,105.170840937089,90.7844387082419,62.2732702011674
53.3291003100653,49.7233724635649,18.1958039332736,80.7757826587572
63.3592704343086,62.9091748604566,41.1136649372071,69.1346392015053
62.3950564077471,50.9844345015912,14.7838852064191,72.4186238429162
64.974809255205,70.4511632581558,50.8601539020743,65.4189587303103
68.3563662997699,95.6829245365116,57.6319920900169,63.9530031602112
68.0210828413114,83.4935156580749,71.7001921915206,66.1225282477822
76.1331452239533,67.2686162004006,36.2425165595245,57.1191375554777
63.5044973512871,50.0626007976274,45.2987073032449,68.9926476013622
47.5071241561157,61.1534675799888,42.9378960963917,87.2033991030118
83.0071325021064,62.433618260986,31.5856672920947,47.8736302637762
58.2806822999937,116.794310547729,79.4417058493397,76.1436772248617
53.8063051249506,36.9595137279619,-0.938363117710814,77.3823483439023
69.9378346450263,37.4124757796753,33.8330480586964,61.5061951502125
63.1192435708997,87.4208887272493,59.5205675975398,69.5741452648601
59.5968919241123,41.7178788329665,29.1317285984014,73.284566533447
76.9649978980341,42.3648773269309,40.6917868783279,54.0836622394237
49.3116376455434,26.3284365715134,24.7676311501909,81.3905573985978
61.3261804548016,82.6946477289463,54.5233413088287,70.5873462134117
50.2116821233218,37.3834780876373,32.7884203375166,82.6710683743434
64.1806550251222,76.7102214292818,53.4458137368047,70.3052690965687
55.4218207802934,48.5488799981364,27.7902427989581,76.612157347581
67.1439997627736,71.241966354999,35.8179095474661,64.4834754409398
71.234110772265,77.4467664606028,77.1006886216902,59.479065219285
60.8149016477722,93.8747584332673,63.4465772450863,72.3499082548921
86.6739008017035,45.7220339288744,36.6735134066822,43.4650421177352
73.5402149038916,69.7221059918002,56.0574941344157,57.0694475893336
75.3999187726458,85.348022256742,71.309521005253,57.2619011801271
51.8096287084678,39.4859634606946,28.4872192970324,81.371414032585
72.9860426153947,83.9003781760168,48.2661446901095,61.5297518280376
60.6803289177526,84.1073219003303,79.1565011898203,71.544167156734
61.3265558204453,84.7204096954615,74.333499387309,71.263733968341
62.2241266996493,76.7284006620431,55.8211484918976,69.8322531180097
76.8977063532142,118.895720028126,80.0569539878451,53.2729437797176
78.2228263918457,52.2487014170067,46.6838571719156,55.9481569697002
55.1219777464077,41.8801138102983,23.791176045311,79.675879410547
40.9345916454977,25.2657996235204,12.0260162861806,90.3317042050121
73.0789914474444,51.0837068641971,20.2944219066242,57.7627074086486
69.8015705626264,18.1884674877407,8.01120416824836,60.20538895486
41.1042913784624,47.499905166833,24.499593538849,93.5997725986524
57.5388845180711,52.6420854761657,39.0980336427149,72.975217398853
67.5103993071073,44.3763607419141,44.3003384261437,66.2819248568437
62.5771910623644,71.172990418522,57.8989953654989,71.3694137990478
64.7466687568417,41.3077834944107,5.77625402685783,67.2089793124283
76.0926071778955,45.5134229660527,23.7148043066756,54.0674430012154
70.7729715304809,58.8485322319891,57.1860741623666,60.939871178904
65.2431454180178,67.3963818935085,53.2478763492186,67.6243720649372
72.4186090363473,69.9265656843372,53.1023969538101,61.139080483019
58.1446941023289,29.467263004866,27.5929693199066,74.4421485379742
84.9191033549515,116.953189396509,77.3582872890172,45.1374475401452
57.0513827139299,30.1344429768904,23.5995588612093,76.9885564460631
83.9737233075969,68.1725499408943,33.8934633417679,48.2185799361947
