"methodA","methodB"
44.5077066163412,52.2469164697208
47.4945404018695,57.7160371663893
48.4302007650998,58.5362371796591
49.3126608628903,64.1361975757165
54.5636656982123,64.9345633121769
56.6874678349194,66.8161792937316
56.8072448054127,67.1472042265428
57.5301539461506,67.7732353469605
58.185296479429,68.2264389375954
64.4467244718363,70.4250069686232
66.0330254303782,70.4426170840979
68.1101010458348,70.443483727855
70.0280030220324,71.6567811371753
81.1170314819451,72.0477378480682
82.871758558738,82.2204457247692
